Financial year,Local authority name,Region,Measure,Value,Units
2021-22,Southampton,South East,Carers who found it easy to find information about services (Percentage),63.4,Percentage
2021-22,Southend-on-Sea,East of England,Carers who found it easy to find information about services (Percentage),52.6,Percentage
2021-22,Southwark,London,Carers who found it easy to find information about services (Percentage),52.1,Percentage
2021-22,St. Helens,North West,Carers who found it easy to find information about services (Percentage),60.2,Percentage
2021-22,Staffordshire,West Midlands,Carers who found it easy to find information about services (Percentage),57.1,Percentage
2021-22,Stockport,North West,Carers who found it easy to find information about services (Percentage),56.4,Percentage
2021-22,Stockton-on-Tees,North East,Carers who found it easy to find information about services (Percentage),63.6,Percentage
2021-22,Stoke-on-Trent,West Midlands,Carers who found it easy to find information about services (Percentage),45.2,Percentage
2021-22,Suffolk,East of England,Carers who found it easy to find information about services (Percentage),63.6,Percentage
2021-22,Sunderland,North East,Carers who found it easy to find information about services (Percentage),55.9,Percentage
2021-22,Surrey,South East,Carers who found it easy to find information about services (Percentage),57.3,Percentage
2021-22,Sutton,London,Carers who found it easy to find information about services (Percentage),59.3,Percentage
2021-22,Swindon,South West,Carers who found it easy to find information about services (Percentage),58.6,Percentage
2021-22,Tameside,North West,Carers who found it easy to find information about services (Percentage),49.4,Percentage
2021-22,Telford and Wrekin,West Midlands,Carers who found it easy to find information about services (Percentage),61.1,Percentage
2021-22,Thurrock,East of England,Carers who found it easy to find information about services (Percentage),65.3,Percentage
2021-22,Torbay,South West,Carers who found it easy to find information about services (Percentage),61.4,Percentage
2021-22,Tower Hamlets,London,Carers who found it easy to find information about services (Percentage),51.2,Percentage
2021-22,Trafford,North West,Carers who found it easy to find information about services (Percentage),55.4,Percentage
2021-22,Wakefield,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),63.5,Percentage
2021-22,Walsall,West Midlands,Carers who found it easy to find information about services (Percentage),53.7,Percentage
2021-22,Waltham Forest,London,Carers who found it easy to find information about services (Percentage),42.6,Percentage
2021-22,Wandsworth,London,Carers who found it easy to find information about services (Percentage),56.4,Percentage
2021-22,Warrington,North West,Carers who found it easy to find information about services (Percentage),57.5,Percentage
2021-22,Warwickshire,West Midlands,Carers who found it easy to find information about services (Percentage),42,Percentage
2021-22,West Berkshire,South East,Carers who found it easy to find information about services (Percentage),56.8,Percentage
2021-22,West Northamptonshire,East Midlands,Carers who found it easy to find information about services (Percentage),57.7,Percentage
2021-22,West Sussex,South East,Carers who found it easy to find information about services (Percentage),60.9,Percentage
2021-22,Westminster,London,Carers who found it easy to find information about services (Percentage),60.8,Percentage
2021-22,Wigan,North West,Carers who found it easy to find information about services (Percentage),58.7,Percentage
2021-22,Wiltshire,South West,Carers who found it easy to find information about services (Percentage),58.9,Percentage
2021-22,Windsor and Maidenhead,South East,Carers who found it easy to find information about services (Percentage),61.9,Percentage
2021-22,Wirral,North West,Carers who found it easy to find information about services (Percentage),46.6,Percentage
2021-22,Wokingham,South East,Carers who found it easy to find information about services (Percentage),59.1,Percentage
2021-22,Wolverhampton,West Midlands,Carers who found it easy to find information about services (Percentage),54.8,Percentage
2021-22,Worcestershire,West Midlands,Carers who found it easy to find information about services (Percentage),63.3,Percentage
2021-22,York,Yorkshire and The Humber,Carers who found it easy to find information about services (Percentage),66.3,Percentage
2021-22,Barking and Dagenham,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.397,Score (between -0.8 and 1.0)
2021-22,Barnet,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.4,Score (between -0.8 and 1.0)
2021-22,Barnsley,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.47,Score (between -0.8 and 1.0)
2021-22,Bath and North East Somerset,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.41,Score (between -0.8 and 1.0)
2021-22,Bedford,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.4,Score (between -0.8 and 1.0)
2021-22,Bexley,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.401,Score (between -0.8 and 1.0)
2021-22,Birmingham,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.402,Score (between -0.8 and 1.0)
2021-22,Blackburn with Darwen,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.385,Score (between -0.8 and 1.0)
2021-22,Blackpool,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2021-22,Bolton,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.419,Score (between -0.8 and 1.0)
2021-22,"Bournemouth, Christchurch and Poole",South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.438,Score (between -0.8 and 1.0)
2021-22,Bracknell Forest,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.409,Score (between -0.8 and 1.0)
2021-22,Bradford,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.416,Score (between -0.8 and 1.0)
2021-22,Brent,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.424,Score (between -0.8 and 1.0)
2021-22,Brighton and Hove,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.406,Score (between -0.8 and 1.0)
2021-22,Bristol,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.394,Score (between -0.8 and 1.0)
2021-22,Bromley,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.423,Score (between -0.8 and 1.0)
2021-22,Buckinghamshire,South East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2021-22,Bury,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.415,Score (between -0.8 and 1.0)
2021-22,Calderdale,Yorkshire and The Humber,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.396,Score (between -0.8 and 1.0)
2021-22,Cambridgeshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.412,Score (between -0.8 and 1.0)
2021-22,Camden,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.367,Score (between -0.8 and 1.0)
2021-22,Central Bedfordshire,East of England,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.39,Score (between -0.8 and 1.0)
2021-22,Cheshire East,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.432,Score (between -0.8 and 1.0)
2021-22,Cheshire West and Chester,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.408,Score (between -0.8 and 1.0)
2021-22,City of London,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.316,Score (between -0.8 and 1.0)
2021-22,Cornwall,South West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.413,Score (between -0.8 and 1.0)
2021-22,County Durham,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.414,Score (between -0.8 and 1.0)
2021-22,Coventry,West Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.439,Score (between -0.8 and 1.0)
2021-22,Croydon,London,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.399,Score (between -0.8 and 1.0)
2021-22,Cumbria,North West,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.417,Score (between -0.8 and 1.0)
2021-22,Darlington,North East,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.431,Score (between -0.8 and 1.0)
2021-22,Derby,East Midlands,People in adult social care quality of life (Score (between -0.8 and 1.0)),0.365,Score (between -0.8 and 1.0)
